gRNA-sequence,Counts-K,Fraction-K,Counts-SK,Fraction-SK,Counts-TK,Fraction-TK,GrowthRate-SK,GrowthRateError,BindingEnergy-SK,GrowthRate-TK
r_137-f_139,8721.0,0.002847818533776741,219.0,5.879766033638705e-05,8262.0,0.005692199578355587,-0.2492868945627839,0.03849677679510918,0.0010005003335835344,-0.13520310440686858
r_147-f_141,8683.0,0.002835409738422594,96.0,2.5774316859786104e-05,9071.0,0.006249569399087815,-0.4353605218213499,0.04463636950183343,0.0010005003335835344,-0.1666187409583433
f_132-r_137,8429.0,0.002752466737897506,234.0,6.282489734572863e-05,4336.0,0.0029873368883744644,-0.2265356406941987,0.03818889687361694,0.0010005003335835344,0.06098949198464208
f_142-r_149,8374.0,0.002734506639358609,123.0,3.302334347660095e-05,6764.0,0.004660135312030645,-0.37092729487256243,0.042319007830800656,0.0010005003335835344,-0.08397495557575825
f_132-r_149,8373.0,0.002734180092112447,111.0,2.9801553869127684e-05,6343.0,0.004370082537582848,-0.394184261782714,0.043267872211391535,0.0010005003335835344,-0.06336702056606255
f_139-f_132,8274.0,0.0027018519147424327,76.0,2.0404667513997334e-05,7006.0,0.004826863985228667,-0.4774052704114379,0.046917763120741,0.0010005003335835344,-0.09912849220468431
r_148-f_136,8251.0,0.002694341328080712,80.0,2.147859738315509e-05,7106.0,0.004895760131178262,-0.4651395141111831,0.046414219018730565,0.0010005003335835344,-0.10457619671917298
r_147-f_133,8230.0,0.002687483835911315,80.0,2.147859738315509e-05,7455.0,0.00513620768054235,-0.4645614872108191,0.04641398445762223,0.0010005003335835344,-0.12079887314670268
f_152-r_137,8113.0,0.0026492778081103887,171.0,4.5910501906494e-05,5466.0,0.0037658633376048945,-0.289012665178411,0.03982569107844774,0.0010005003335835344,-0.025693620130380772
r_137-f_134,8107.0,0.002647318524633418,175.0,4.6984431775651755e-05,5156.0,0.0035522852851611482,-0.2836002216085661,0.03967852502776324,0.0010005003335835344,-0.007173039695362936
f_134-f_152,8086.0,0.002640461032464021,118.0,3.168093114015375e-05,5213.0,0.0035915560883524175,-0.3724021342146324,0.04270501664220344,0.0010005003335835344,-0.011538639951090947
f_142-r_150,8022.0,0.002619562008709668,121.0,3.248637854202207e-05,5891.0,0.0040586719578906754,-0.3649051931174194,0.04246164624320041,0.0010005003335835344,-0.053374687809757106
f_133-f_123,7990.0,0.0026091124968324916,91.0,2.4431904523338913e-05,5696.0,0.003924324473288964,-0.42862675843303144,0.045141433150173715,0.0010005003335835344,-0.043844042356060695
f_131-r_148,7970.0,0.0026025815519092562,103.0,2.7653694130812176e-05,4054.0,0.0027930497567966047,-0.39996216240279625,0.043956848268080356,0.0010005003335835344,0.06460536294000063
f_134-f_130,7808.0,0.002549680898031051,115.0,3.0875483738285436e-05,6265.0,0.004316343543742163,-0.3703079410612208,0.04293347344107836,0.0010005003335835344,-0.08183746996069748
f_138-f_123,7789.0,0.0025434765003539772,146.0,3.9198440224258034e-05,5666.0,0.0039036556295040854,-0.3156190827402351,0.040935158674968095,0.0010005003335835344,-0.05033310287696992
f_131-f_139,7699.0,0.0025140872481994184,252.0,6.765758175693853e-05,3009.0,0.002073085031623331,-0.18917930695793436,0.037862450290799224,0.0010005003335835344,0.14926343147516
r_152-f_133,7655.0,0.0024997191693683007,125.0,3.3560308411179825e-05,5697.0,0.00392501343474846,-0.3469065577806811,0.04218962983517893,0.0010005003335835344,-0.057661433253710814
r_136-f_137,7631.0,0.0024918820354604184,225.0,6.0408555140123685e-05,4600.0,0.0031692227136813967,-0.2128723142011665,0.03836220804638518,0.0010005003335835344,0.010046233070476867
f_134-r_148,7588.0,0.002477840503875463,111.0,2.9801553869127684e-05,6034.0,0.0041571934465985975,-0.3718551124000089,0.043257648628932686,0.0010005003335835344,-0.07894991488355071
f_140-r_136,7403.0,0.0024174292633355366,48.0,1.2887158429893052e-05,7036.0,0.004847532829013545,-0.5564067164909188,0.05223091727899948,0.0010005003335835344,-0.1362381810817523
r_136-r_136,7354.0,0.0024014284482736102,4591.0,0.0012326030073258126,83.0,5.718380113816433e-05,0.4795484590391763,0.03605152244917144,0.653058496201095,1.2880981309842416
r_136-f_134,7293.0,0.0023815090662577423,81.0,2.1747079850444528e-05,6731.0,0.004637399583867279,-0.43432779266518945,0.04627764005088947,0.0010005003335835344,-0.12680996443753684
f_130-f_130,7245.0,0.0023658347984419777,97205.0,0.026097838232869878,47.0,3.238118859630992e-05,1.1753556231724758,0.036176052170137654,5.298317366548035,1.4660103741310526
r_148-f_122,7239.0,0.0023638755149650074,87.0,2.3357974654181158e-05,5869.0,0.004043514805781765,-0.4164337345162731,0.04556315935370034,0.0010005003335835344,-0.08516961157871171
r_137-f_122,7172.0,0.002341996849472169,164.0,4.403112463546793e-05,5430.0,0.00374106072506304,-0.27052997267304235,0.04008595941887337,0.0010005003335835344,-0.06317906477059694
f_138-f_131,7111.0,0.0023220774674563016,117.0,3.1412448672864314e-05,5798.0,0.003994598542157552,-0.3451880881277948,0.04276716759203834,0.0010005003335835344,-0.08699093782196464
f_135-r_137,6946.0,0.0022681971718396103,278.0,7.463812590646392e-05,3322.0,0.0022887299684455653,-0.14356197988102318,0.037453733850926596,0.0010005003335835344,0.08440217261047359
f_135-f_138,6730.0,0.0021976629666686696,178.0,4.778987917752007e-05,3936.0,0.002711752304576082,-0.2375215880110048,0.039551389576951965,0.0010005003335835344,0.01976418133910714
f_135-f_142,6665.0,0.0021764373956681547,101.0,2.71167291962333e-05,5283.0,0.0036397833905171344,-0.3638509807408758,0.04412125530214445,0.0010005003335835344,-0.07791605925759139
r_148-f_132,6665.0,0.0021764373956681547,104.0,2.7922176598101615e-05,5184.0,0.0035715762060270348,-0.3572118613450406,0.04384751186476728,0.0010005003335835344,-0.07183834868652754
f_122-f_143,6618.0,0.002161089675098552,77.0,2.0673149981286773e-05,3274.0,0.0022556598183897593,-0.4237856253350774,0.046756811861105856,0.0010005003335835344,0.07353704710947423
r_147-f_123,6484.0,0.0021173323441128758,43.0,1.154474609344586e-05,4964.0,0.0034200046849379244,-0.5512926370957193,0.05366648686036734,0.0010005003335835344,-0.06675160059458626
f_139-f_131,6483.0,0.002117005796866714,127.0,3.40972733457587e-05,4775.0,0.003289790969093189,-0.30561413068989063,0.04203484913673207,0.0010005003335835344,-0.05432972966256812
r_151-f_135,6466.0,0.002111454493681964,413.0,0.00011088325899053814,5362.0,0.003694211345817315,-0.037538248736393116,0.036376978825592675,0.0010005003335835344,-0.0924235341855459
r_152-f_135,6393.0,0.002087616544712155,123.0,3.302334347660095e-05,4354.0,0.0029997381946453914,-0.3097021160116976,0.04228842297827037,0.0010005003335835344,-0.029167285690853462
r_149-f_143,6329.0,0.002066717520957802,99.0,2.657976426165442e-05,5334.0,0.003674920424951428,-0.35665464104211597,0.044307979821021734,0.0010005003335835344,-0.09762179144284217
f_142-f_142,6298.0,0.0020565945563267877,14564.0,0.0039101786536033835,204.0,0.000140548137737175,0.7765622971330437,0.036156496880539415,1.4986226381581942,0.9493749940373025
f_139-f_130,6231.0,0.0020347158908339495,55.0,1.4766535700919123e-05,5537.0,0.003814779601229107,-0.4864370133251998,0.05050234187569474,0.0010005003335835344,-0.11463577587265161
f_142-r_148,6167.0,0.0020138168670795964,92.0,2.4700386990628352e-05,4988.0,0.0034365397599658274,-0.3674062728287455,0.04500847405541809,0.0010005003335835344,-0.0844053967600004
f_143-f_135,6142.0,0.0020056531859255523,97.0,2.6042799327075543e-05,4711.0,0.003245697435685448,-0.35448103214313353,0.04450041342383059,0.0010005003335835344,-0.06735416637014863
r_148-r_149,5879.0,0.0019197712601850085,69.0,1.852529024297126e-05,4405.0,0.003034875229079685,-0.4218105612381671,0.047895831271769204,0.0010005003335835344,-0.05983742893192346
r_153-f_143,5855.0,0.0019119341262771262,101.0,2.71167291962333e-05,4592.0,0.003163711022005429,-0.3344609659637669,0.04410580421912888,0.0010005003335835344,-0.07450904148051651
f_143-f_136,5839.0,0.001906709370338538,9687.0,0.0026007896606327916,2459.0,0.0016941562289005552,0.7012362958281895,0.036121595236116244,1.2081023050836859,0.12527090405760044
r_153-f_131,5789.0,0.00189038200803045,108.0,2.8996106467259367e-05,4517.0,0.0031120389125432325,-0.3166902369622615,0.04348123604129458,0.0010005003335835344,-0.07286049751493731
r_148-f_131,5776.0,0.001886136893830347,104.0,2.7922176598101615e-05,4558.0,0.0031402863323825667,-0.3247405833895858,0.043830286015036884,0.0010005003335835344,-0.07648583652462579
r_152-f_136,5776.0,0.001886136893830347,159.0,4.268871229902074e-05,3901.0,0.0026876386534937236,-0.2284523123528949,0.040270073341705424,0.0010005003335835344,-0.026478236371639284
f_134-r_149,5757.0,0.0018799324961532734,122.0,3.275486100931151e-05,4003.0,0.002757912722362311,-0.2877858626782366,0.042349165975349046,0.0010005003335835344,-0.03582943537929403
f_139-r_151,5642.0,0.0018423795628446707,386.0,0.0001036342323737233,4649.0,0.0032029818251966984,-0.021953682431170535,0.03649206926437152,0.0010005003335835344,-0.09037831828736678
f_130-f_122,5580.0,0.0018221336335826413,108.0,2.8996106467259367e-05,3411.0,0.0023500475383407054,-0.30834987249488005,0.04347664818862469,0.0010005003335835344,0.005554952343537911
f_138-f_143,5554.0,0.0018136434051824353,83.0,2.2284044785023402e-05,4772.0,0.003287724084714701,-0.36701021316348514,0.04598338543894089,0.0010005003335835344,-0.10381862511964098
f_138-f_133,5393.0,0.0017610692985503915,71.0,1.906225517755014e-05,3815.0,0.002628387967977071,-0.395758371986891,0.04758124544314517,0.0010005003335835344,-0.04135907868316669
f_123-f_143,5380.0,0.0017568241843502884,1171.0,0.0003143929691959326,67.0,4.616041778622904e-05,0.2405514997347853,0.03594996404449369,0.2751627666644086,1.2564815726483192
r_136-r_149,5319.0,0.001736904802334421,72.0,1.9330737644839578e-05,3824.0,0.002634588621112535,-0.38945214320043414,0.04743146160289536,0.0010005003335835344,-0.04655509070248502
f_133-r_147,5291.0,0.0017277614794418915,140.0,3.75875454205214e-05,3161.0,0.002177807173466716,-0.23742479194610633,0.0411933563282738,0.0010005003335835344,0.01292369522430767
r_137-r_147,5270.0,0.0017209039872724946,134.0,3.5976650616784775e-05,4432.0,0.003053477188486076,-0.24645807740019973,0.04154209403282938,0.0010005003335835344,-0.0969347036170251
f_123-r_149,5077.0,0.001657880368763274,1253.0,0.0003364085315136666,54.0,3.720391881278161e-05,0.2690515785885654,0.03594714342307394,0.31341238066644395,1.307160563271421
f_130-f_133,5055.0,0.0016506963293477154,137.0,3.678209801865309e-05,2117.0,0.0014585314097529385,-0.23198838030238314,0.041384418396232095,0.0010005003335835344,0.12706142302824427
f_135-f_131,5009.0,0.0016356751560242743,491.0,0.00013182489143911434,3726.0,0.0025670703980819314,0.05961298692272021,0.036109843118791424,0.06146377241022062,-0.05750666816845346
f_135-f_134,4982.0,0.0016268583803779066,1056.0,0.0002835174854576472,108.0,7.440783762556322e-05,0.23453782401119888,0.03596499153064925,0.2672754759623712,1.0783973269242333
r_152-f_122,4979.0,0.0016258787386394212,104.0,2.7922176598101615e-05,3564.0,0.0024554586416435866,-0.2910617631736677,0.043811436000510455,0.0010005003335835344,-0.045155196135307364
